School Name,Location,Closest Store,Store Address,Driving Distance (miles),Walking Distance (miles),Percent in Poverty,Zip Code
William M Anderson Elementary,Dallas,Fiesta Mart,"10121 E Lake June Rd, Dallas, TX 75217",1.4,1.2,97.13,75217
Arcadia Park Elementary School,Dallas,Supermercado Monterrey,"5306 W Davis St, Dallas, TX 75211",0.9,0.9,96.33,75211
"Jose ""Joe"" May Elementary School",Dallas,Fiesta Mart,"9727 Webb Chapel Rd, Dallas, TX 75220",1.7,1.3,96.24,75220
Bayles Elementary School,Dallas,Walmart Supercenter,"7401 Samuell Blvd, Dallas, TX 75228",1.5,1.4,98.0,75228
W A Blair Elementary School,Dallas,Fiesta Mart,"2951 S Buckner Blvd, Dallas, TX 75227",4.1,3.9,86.67,75217
Annie Webb Blanton Elementary School,Dallas,Aldi,"2926 S Buckner Blvd, Dallas, TX 75227",1.6,1.6,91.71,75227
James Bowie Elementary School,Dallas,Fiesta Mart,"611 W Jefferson Blvd, Dallas, TX 75208",1.5,1.4,97.38,75203
John Neely Bryan Elementary School,Dallas,Fiesta Mart,"3030 S Lancaster Rd, Dallas, TX 75216",0.6,0.6,88.86,75216
Harrell Budd Elementary School,Dallas,Save A Lot,"2611 S Lancaster Rd, Dallas, TX 75216",0.9,0.9,70.11,75216
David G. Burnet Elementary School,Dallas,Fiesta Mart,"9727 Webb Chapel Rd, Dallas, TX 75220",0.8,0.7,98.76,75220
Rufus C Burleson Elementary School,Dallas,Save You More,"3540 Simpson Stuart Rd, Dallas, TX 75241",5.9,5.6,98.77,75217
W W Bushman Elementary School,Dallas,Fiesta Mart,"3030 S Lancaster Rd, Dallas, TX 75216",2.4,2.2,98.35,75216
Chapel Hill Preparatory School,Dallas,Fiesta Mart,"1235 S Josey Ln, Carrollton, TX 75006",3.5,3.5,93.19,75234
F. P. Caillet Elementary School,Dallas,El Rio Grande Latin Market,"10909 Webb Chapel Rd, Dallas, TX 75229",1.0,0.9,93.3,75229
John W Carpenter Elementary School,Dallas,Fiesta Mart,"2225 W Ledbetter Dr, Dallas, TX 75224",0.3,0.3,94.44,75224
C F Carr Elementary School,Dallas,Jerry's Supermarket,"1719 Singleton Blvd, Dallas, TX 75212",1.0,1.0,92.1,75212
Casa View Elementary School,Dallas,Walmart Neighborhood Market,"2275 Gus Thomasson Rd, Dallas, TX 75228",1.1,1.1,85.34,75228
Central Elementary,Dallas,Super 1 Foods,"125 Hall Rd, Seagoville, TX 75159",1.1,1.0,88.37,75159
Martin Luther King Jr. Learning Center,Dallas,Save A Lot,"3021 Martin Luther King Jr Blvd, Dallas, TX 75215",1.2,1.2,100.0,75215
S S Conner Elementary School,Dallas,Walmart Supercenter,"7401 Samuell Blvd, Dallas, TX 75228",1.3,1.2,87.11,75228
Leila P Cowart Elementary School,Dallas,Supermercado Monterrey,"1120 S Westmoreland Rd, Dallas, TX 75211",0.7,0.7,95.46,75211
